time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
3255,1,1,4.06804,3.87784,5.17723,0.115998,28,2.8491,0.222444,0.0622663,0.00380019,0.00288901,11.4935,0,30,7,0,197,0,0,0,0,0,0.398566,6424,0.0378319,6424,0.0624135,6424,0.297895,6424,0.28446,6424,0.0018786,6424,0.0090223,431,0.0032412,803,0.26948,6424,0.0180129,6424,0.0102953,6424,0,0,0.0016195,24,0.0029101,6424,0.0058166,6424,0.0614222,6424,0.0025972,6424,0.0006267,6424,0.16261,6424,0.0234866,6424,0.105406,6424,0.029532,6424,731779,6424
3355,1,0,2.84763,3.67179,5.02668,0.153645,27,3.82757,0.386688,0.0693198,0.00441649,0.00340273,11.8292,0,30,7,0,197,0,0,0,0,0,0.411059,6624,0.0384189,6624,0.0640165,6624,0.308186,6624,0.294387,6624,0.001927,6624,0.0093955,444,0.0033177,828,0.278883,6624,0.0184587,6624,0.0105841,6624,0,0,0.0016195,24,0.0029877,6624,0.0059797,6624,0.0630292,6624,0.0026685,6624,0.0006467,6624,0.169248,6624,0.024287,6624,0.110342,6624,0.0302892,6624,763779,6624
3455,1,1,2.29334,3.3961,4.86362,0.125115,30,3.28911,0.341097,0.0732364,0.004859,0.00354629,13.287,0,25,6,0,197,0,0,0,0,0,0.42745,6824,0.0393621,6824,0.0662561,6824,0.321382,6824,0.307145,6824,0.0019922,6824,0.009825,456,0.0034275,853,0.291013,6824,0.0190525,6824,0.0109483,6824,0,0,0.0016195,24,0.0030861,6824,0.0061762,6824,0.0651281,6824,0.0027507,6824,0.0006719,6824,0.1778,6824,0.0253542,6824,0.116596,6824,0.0313375,6824,795779,6824
3555,1,0,1.60534,3.03795,4.68106,0.11366,27,3.24108,0.258669,0.0480662,0.00365935,0.00274686,10.5954,0,28,6,0,197,0,0,0,0,0,0.441959,7024,0.0400603,7024,0.0681935,7024,0.333244,7024,0.318616,7024,0.0020461,7024,0.0101467,469,0.003508,878,0.302002,7024,0.0195986,7024,0.0112724,7024,0,0,0.0016195,24,0.0031795,7024,0.0063206,7024,0.0670795,7024,0.0028321,7024,0.0006924,7024,0.185532,7024,0.0263536,7024,0.1223,7024,0.0322048,7024,827779,7024
3655,1,0,1.12374,2.65511,4.47846,0.181128,27,3.13034,0.26615,0.0570135,0.00396574,0.00324132,11.9658,0,25,7,0,197,0,0,0,0,0,0.456731,7224,0.0407793,7224,0.0701272,7224,0.345351,7224,0.330305,7224,0.0021018,7224,0.0105228,481,0.0036174,903,0.313124,7224,0.0201286,7224,0.011603,7224,0,0,0.0016195,24,0.0032707,7224,0.0064885,7224,0.0689367,7224,0.0029141,7224,0.0007138,7224,0.193465,7224,0.027472,7224,0.127985,7224,0.0331578,7224,859779,7224
3755,1,0,0.786616,2.28141,4.25876,0.112352,27,4.06924,0.392099,0.065863,0.00519375,0.00387164,12.3742,0,45,6,0,197,0,0,0,0,0,0.471846,7424,0.0415735,7424,0.0721486,7424,0.357638,7424,0.342136,7424,0.0021626,7424,0.0109239,494,0.0037179,928,0.324368,7424,0.0206962,7424,0.0119347,7424,0,0,0.0016195,24,0.0033668,7424,0.0066644,7424,0.070835,7424,0.0029945,7424,0.0007362,7424,0.201425,7424,0.028573,7424,0.133786,7424,0.0340461,7424,891779,7424
3855,1,0,0.550631,1.93525,4.02641,0.12087,27,2.64594,0.233833,0.0595842,0.00422694,0.00319534,11.1981,0,24,5,0,197,0,0,0,0,0,0.485278,7624,0.0422641,7624,0.0738972,7624,0.36862,7624,0.352734,7624,0.0022152,7624,0.0113556,506,0.0038213,953,0.334352,7624,0.02117,7624,0.0122357,7624,0,0,0.0016195,24,0.0034499,7624,0.0068188,7624,0.0726062,7624,0.0030686,7624,0.0007551,7624,0.208433,7624,0.0294381,7624,0.138994,7624,0.0348343,7624,923779,7624
3955,1,0,0.385442,1.62529,3.78629,0.116707,27,2.80236,0.216212,0.0535024,0.00386982,0.00306279,11.9843,0,25,6,0,197,0,0,0,0,0,0.498134,7824,0.0429304,7824,0.0755482,7824,0.379149,7824,0.3629,7824,0.0022756,7824,0.0116438,519,0.0038935,978,0.344074,7824,0.0217156,7824,0.0125357,7824,0,0,0.0016195,24,0.003532,7824,0.0070018,7824,0.0742465,7824,0.0031427,7824,0.0007751,7824,0.215215,7824,0.03032,7824,0.144005,7824,0.0355809,7824,955779,7824
4055,1,1,0.569809,1.4142,3.54908,0.110798,28,3.46081,0.246857,0.0514488,0.00391733,0.00285036,11.6379,0,35,6,0,197,0,0,0,0,0,0.511689,8024,0.0436179,8024,0.0772642,8024,0.390288,8024,0.373654,8024,0.0023344,8024,0.0121012,531,0.0039967,1003,0.354185,8024,0.0221981,8024,0.0128267,8024,0,0,0.0016195,24,0.0036209,8024,0.0071837,8024,0.0760404,8024,0.0032198,8024,0.0007956,8024,0.222286,8024,0.0312047,8024,0.149188,8024,0.036425,8024,987779,8024
4155,1,0,0.398866,1.21113,3.31529,0.137367,27,2.80619,0.253332,0.0519933,0.00424418,0.00314496,11.6142,0,22,4,0,197,0,0,0,0,0,0.525647,8224,0.0443449,8224,0.0789982,8224,0.401774,8224,0.384753,8224,0.0023853,8224,0.0125215,544,0.0040872,1028,0.3647,8224,0.0227032,8224,0.0131622,8224,0,0,0.0016195,24,0.0037188,8224,0.0073416,8224,0.0778089,8224,0.0032934,8224,0.0008141,8224,0.22974,8224,0.0321809,8224,0.154671,8224,0.0372721,8224,1019779,8224
